District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
11,11820,1974,33.8,23.125,268.5,83.75,1.575,3.525,6.50775862068966,6
12,37525,1974,37.925,22.1,125.5,70,3.45,3.9,7.18103448275862,14
13,1130,1974,33.325,24.025,214.480769230769,81.474358974359,2.025,4.15,6.02068965517242,3
14,44200,1974,37.475,23.2,91.25,67.75,0.925,2.95,7.33857142857143,20
16,257070,1974,33.1,21.225,189.25,75.75,1.475,3.55,6.63857142857143,34
17,15140,1974,34.025,21.425,499,78,1.025,5.325,7.125,35
2,33490,1975,38.075,22.85,102.75,66.5,1.525,2.7,8.75,20
3,305,1975,34.475,23.675,176.25,78.25,4.35,3.5,7.025,6
4,71745,1975,35.55,23.3,135.75,71,4.175,3.6,6.80454545454546,10
5,95395,1975,36.6,23.55,165.75,72.75,1.75,3.875,8.95,9
6,67385,1975,33.7,21.775,137.5,66.75,1.025,3.075,6.894,37
7,114275,1975,36.775,22.45,146.25,77,1.825,3.75,6.98534482758621,9
8,68890,1975,37.225,23.45,73,67.75,3.85,3.575,7.975,7
9,15035,1975,34.75,24.075,148,76.75,1.775,3.55,7.21583333333334,4
10,180785,1975,36.725,22.025,29.75,75.25,0.35,3.6,6.08428571428571,19
11,10870,1975,35.25,23.375,206,81,1.225,3.075,6.50775862068966,6
12,47025,1975,43.45,22.425,131.75,62.75,3.4,3.375,7.18103448275862,14
13,1105,1975,34.975,23.55,75,76,2.05,3.5,6.02068965517242,3
14,41715,1975,37.425,23.525,61.75,62.25,1.1,2.6,7.33857142857143,20
16,283565,1975,33.1,21.225,177.5,85.25,0.725,3.275,6.63857142857143,34
17,13335,1975,34.275,21.5,418.5,77,1.275,4.65,7.8,35
2,45690,1976,38.575,22.4,155,66.75,1.475,3.075,8.65,20
3,305,1976,34.35,22.9,306.5,79.25,4.8,3.625,7.025,6
4,85175,1976,34.925,23.25,220,75,3.5,4.45,6.80454545454546,10
5,140460,1976,36.175,23.525,309.25,74.5,1.825,4.2,8.275,9
6,62430,1976,33.7,21.775,137.5,66.75,1.025,3.075,6.894,37
7,134990,1976,36.825,23.25,205.25,75,1.475,3.8,6.98534482758621,9
8,143470,1976,37.15,23.025,118.25,70.5,3.1,3.35,7.475,7
9,33150,1976,37.05,24.25,171.75,71,1.925,3.45,7.21583333333334,4
10,230850,1976,36.25,21.25,203,75.25,0.175,3.8,6.08428571428571,19
11,13035,1976,32.45,23.425,206,79.25,1.45,3.8,6.50775862068966,6
12,61940,1976,38.15,21.425,219.75,62,3.125,3.05,7.18103448275862,14
13,1250,1976,34.425,24.075,192.25,80.5,2.025,3.9,6.02068965517242,3
14,52455,1976,37.025,23.125,120.75,63,0.65,2.775,7.33857142857143,20
16,322825,1976,33.1,21.225,186.75,88,0.825,3.25,6.63857142857143,34
17,12220,1976,33.975,21.55,503,79.25,0.875,4.925,6.85,35
2,48780,1977,34.425,22.65,135,71.5,1.55,3.575,7.175,20
3,190,1977,33.325,22.65,279.75,83.75,2.4,4.725,6.825,6
4,80455,1977,33.7,22.825,293.75,77.5,4.425,4.875,6.80454545454546,10
5,153155,1977,34.35,23.15,239.75,80.25,1.975,4.95,7.425,9
6,70310,1977,33.7,21.775,137.5,66.75,1.025,3.075,6.894,37
7,173910,1977,36.35,22.975,250,78.25,1.175,4.125,6.98534482758621,9
8,175985,1977,36.8,23.25,171.75,75.5,3.4,4.225,6.575,7
9,44665,1977,36.55,24.225,195.25,76.75,1.875,4.425,7.21583333333334,4
10,267540,1977,32.8,22.3,462.5,77.5,3.725,4.85,6.08428571428571,19
11,9500,1977,32.45,23.425,261.5,79.25,1.45,3.8,6.50775862068966,6
12,73815,1977,37.425,21.8,424,70.75,1.925,4.275,7.18103448275862,14
13,1200,1977,34.575,23.375,367.25,80.5,3.125,5.625,6.02068965517242,3
14,63185,1977,37.275,22.325,253.25,73.75,1.25,3.725,7.33857142857143,20
16,334025,1977,33.1,21.225,256.75,75.75,0.925,4.125,6.63857142857143,34
17,5200,1977,32.975,21.25,516.5,81.5,1.1,5.775,5.125,35
2,60575,1978,37.675,21.675,302,71.5,1.6,3.775,7.7,20
3,315,1978,34.375,22.125,307.5,76.75,4.05,4.525,7.025,6
4,105275,1978,32.725,23.05,216.75,79.5,2.225,3.95,6.80454545454546,10
5,167250,1978,35.475,22.425,298.75,74.5,1.625,4.5,6.3,9
6,74680,1978,33.7,21.775,137.5,66.75,1.025,3.075,6.894,37
7,194195,1978,35.475,22.175,166.75,74,0.6,3.45,6.98534482758621,9
8,220440,1978,35.15,23.275,130.75,73,2.875,3.85,7.55,7
9,51775,1978,36.1,23.45,190.5,78.5,1.2,3.575,7.21583333333334,4
10,268810,1978,35.175,21.35,269.75,74.75,2.375,4.3,6.08428571428571,19
11,19040,1978,34.65,21.9,261.5,79.25,1.6,4.45,6.50775862068966,6
12,95535,1978,38.35,21.675,185,68.25,2.675,4.025,7.18103448275862,14
13,1055,1978,35.8,22.775,348,74.5,2.225,5.3,6.02068965517242,3
14,64315,1978,36.275,21.9,187.75,71.5,2.1,3.575,7.33857142857143,20
16,370100,1978,35.525,21.775,210.25,67.75,1.3,3.725,6.63857142857143,34
17,8015,1978,35.05,21.025,477.5,75,1.275,5.175,6.6,35
1,9130,1981,34.1,23.025,310,82.5,1.125,4.7,6.225,4
2,52770,1981,35.975,22.425,161.75,75,1.325,3.7,7.825,20
3,320,1981,32.85,22.45,277.75,78,4.1,4.675,5.825,6
4,79060,1981,32.8,22.175,317.25,79.75,1.475,4.025,7.05,10
5,128770,1981,35.075,22.925,205.75,75,1.425,4.575,7.025,9
6,47485,1981,34.825,21.95,194,66.75,2.925,3.5,6.894,37
7,152210,1981,35.175,22.5,260.75,78.5,1.1,3.25,6.98534482758621,9
8,161295,1981,35.95,22.825,173.75,75.25,2.975,4.875,6.525,7
9,24200,1981,35.125,23.3,257.5,81.5,2.425,4.025,7.21583333333334,4
10,117035,1981,34.475,22.325,200.75,69.5,2.375,4.85,6.775,19
11,5935,1981,33.4,22.8,339.75,80,1.075,3.05,6.50775862068966,6
12,34150,1981,37,22.075,242.5,74,1.825,4.125,7.18103448275862,14
13,1095,1981,34.125,23.4,243.25,78.5,2.575,4.925,6.02068965517242,3
14,29160,1981,39.325,22,178.75,74.25,1.5,3.525,7.8,20
15,425,1981,34.175,22.95,236,75,1.6,4.4,6.62314814814815,63
16,272740,1981,34.7,21.25,182.75,75.75,1.1,3.7,8.05,34
17,8885,1981,34.075,21.375,470,77.25,1.225,4.975,6.7,35
1,7185,1982,36.1,23.35,181.25,78.25,1.1,3.825,8.025,4
2,48425,1982,36.95,22.425,108.75,71,1.5,3.3,7.45,20
3,180,1982,34.4,22.975,239.75,76.5,4.1,3.5,6.825,6
4,75450,1982,35.225,22.25,297.5,79,1.575,3.475,7.95,10
5,121630,1982,37.2,23.125,213.25,73.75,1.65,3.95,6.7,9
6,45095,1982,37.325,21.3,121,63.25,1.05,3.325,6.894,37
7,168000,1982,37.2,22.825,154.25,75.5,1.125,2.275,6.98534482758621,9
8,166630,1982,37.65,22.925,166.5,73,3.4,4.1,6.175,7
9,28855,1982,36.1,23.725,132,77.25,1.325,3.175,7.21583333333334,4
