name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,0.30285984782863046,2.17
2_DecisionTree,Decision Tree,rmse,0.2976720277214298,1.85
3_DecisionTree,Decision Tree,rmse,0.2976720277214298,1.98
4_Linear,Linear,rmse,0.2223425618031142,2.14
5_Default_LightGBM,LightGBM,rmse,0.20271583790067232,3.72
6_Default_Xgboost,Xgboost,rmse,0.20471924773738986,5.16
7_Default_CatBoost,CatBoost,rmse,0.20150551664437225,4.01
8_Default_NeuralNetwork,Neural Network,rmse,0.23969892152679065,2.72
9_Default_RandomForest,Random Forest,rmse,0.2281724469192699,6.6
10_Default_ExtraTrees,Extra Trees,rmse,0.21893614750162574,5.08
11_Default_NearestNeighbors,Nearest Neighbors,rmse,0.21907834775004453,2.78
21_LightGBM,LightGBM,rmse,0.19949113112542705,3.63
12_Xgboost,Xgboost,rmse,0.20512865688048426,5.7
30_CatBoost,CatBoost,rmse,0.2014714238964495,10.03
39_RandomForest,Random Forest,rmse,0.21850451354734274,5.8
48_ExtraTrees,Extra Trees,rmse,0.22614246561182713,5.0
57_NeuralNetwork,Neural Network,rmse,0.22585050994784855,3.25
66_NearestNeighbors,Nearest Neighbors,rmse,0.21657059078036067,3.04
22_LightGBM,LightGBM,rmse,0.20501653177877407,4.09
13_Xgboost,Xgboost,rmse,0.20574820800749805,6.09
31_CatBoost,CatBoost,rmse,0.20876342172563378,5.3
40_RandomForest,Random Forest,rmse,0.22716910574526733,6.2
49_ExtraTrees,Extra Trees,rmse,0.23137397596654205,6.62
58_NeuralNetwork,Neural Network,rmse,0.21873167699765073,4.15
67_NearestNeighbors,Nearest Neighbors,rmse,0.2153041888307822,3.47
23_LightGBM,LightGBM,rmse,0.2025985394401707,4.51
14_Xgboost,Xgboost,rmse,0.20019287970459665,4.77
32_CatBoost,CatBoost,rmse,0.20177133765773397,6.25
41_RandomForest,Random Forest,rmse,0.2193198288401496,6.28
50_ExtraTrees,Extra Trees,rmse,0.2202546078228626,7.21
59_NeuralNetwork,Neural Network,rmse,0.23005636165362808,5.49
68_NearestNeighbors,Nearest Neighbors,rmse,0.2153041888307822,3.59
