name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,0.18741081333948015,0.38
2_DecisionTree,Decision Tree,rmse,0.19175887725774496,0.42
3_DecisionTree,Decision Tree,rmse,0.1917588772577449,0.39
4_Linear,Linear,rmse,0.16501070366105577,0.44
5_Default_LightGBM,LightGBM,rmse,0.17167549763797535,0.82
15_LightGBM,LightGBM,rmse,0.18214428364470667,0.57
6_Xgboost,Xgboost,rmse,0.17969101970741724,0.61
24_CatBoost,CatBoost,rmse,0.17126838067383607,0.98
33_RandomForest,Random Forest,rmse,0.18496990227456234,0.7
34_CatBoost,CatBoost,rmse,0.16942284123195392,1.38
35_CatBoost,CatBoost,rmse,0.16857806639948392,0.83
Ensemble,Ensemble,rmse,0.16157202522652142,0.29
