Productions
3085
30
7410
5240
2725
21915
4720
205
1465
195
20925
14070
5445
105
2720
15
8575
5540
2695
21510
5825
190
1700
185
21900
14030
6075
140
3370
2
10420
5265
610
22415
5325
275
1650
180
22550
16125
5920
206
3410
2
12094
4832
2819
9692
3040
95
1495
111
22881
13331
5421
209
3633
0
15139
4248
5501
11572
3439
81
1632
96
22866
0
13215
5587
244
48
3862
0
19075
4080
3058
13010
4112
240
1604
147
23513
0
14656
5648
214
211
9771
149
38640
5367
15484
11789
16014
888
4948
3192
27132
0
25110
7029
691
54
19813
267
50578
10734
12270
12055
20111
1917
5330
992
29059
0
27669
6960
2084
107
27802
36
47438
14082
25097
24560
23379
4286
6864
210
34932
0
32505
15712
2131
54
19813
267
50578
10734
12270
12055
20111
1917
5330
992
29059
0
27669
6960
2084
107
27802
36
47438
14082
25097
24560
23379
4286
6864
210
34932
0
32505
15712
2131
2785
58525
380
121005
31320
46235
49940
66740
8190
8170
1470
82295
90
117060
245
195730
7760
2805
47500
275
118720
37560
128845
75170
73990
13080
10440
830
73785
35
71160
10
125380
8130
4435
51345
230
107585
46420
111175
92625
55445
5030
17345
1355
97570
160
107575
0
167230
13630
1755
60700
195
141380
49680
140875
98880
58400
4635
19900
1280
105690
35
110540
5
170840
8700
4430
79795
210
154625
77940
119185
140215
100530
5605
26340
3040
134670
65
154430
5
196160
15800
6705
61130
150
140195
75475
88565
65720
58635
10410
22270
2400
86500
200
108380
40
108420
9270
3950
49310
265
141680
51555
114780
62945
70795
9630
21370
2120
96045
80
109760
20
165345
11495
13840
44360
80
122310
64080
95525
74490
104505
6835
19890
2010
71130
210
93210
5
131130
10525
39740
8950
39175
0
112590
51550
110010
82420
91245
7330
20705
1250
73295
215
87160
0
133315
11195
37030
8670
38560
30
86850
48360
134440
57000
66250
6460
18960
1890
68780
120
78540
0
116940
8480
31690
4790
40670
0
81130
50230
156600
67550
74230
5070
20300
210
118640
240
92290
0
122490
12140
28590
4660
33700
10
76730
61290
146390
72980
75490
5740
19390
410
137770
80
104670
10
134690
10840
33660
8380
35390
10
85210
57410
171450
664380
98250
3640
23600
1070
139110
220
124400
60
112860
14470
41890
8620
36830
20
92250
57660
152900
71850
95500
6260
22250
2130
133510
610
119220
180
109060
10900
42600
11140
39670
70
103900
59920
158840
69060
133520
7360
19770
2790
144590
3
122480
130
136830
12980
42620
10150
46860
130
104110
69240
168750
89640
141540
10970
24490
700
162300
3
154100
20
145920
7040
46720
11290
50920
160
105780
71440
197850
101610
134780
6770
17990
850
192250
0
152540
10
157800
2820
47910
12200
55120
220
119970
84850
293870
118820
155150
7540
25100
1240
227880
1
183640
10
215210
3620
56920
17750
54030
230
126000
88080
316180
123860
152240
8410
26270
2140
230150
40
187070
20
249900
4030
64040
19220
56490
90
99860
82530
351820
118930
136810
5360
22610
1820
219350
10
227570
10
229260
3640
56790
20720
39000
60
88750
72300
324590
97470
121840
4460
18830
970
191530
0
211810
10
217970
4000
48650
11540
45760
50
78880
75290
337190
93300
113990
4760
14240
960
187330
0
205510
0
201500
7620
43450
11500
41620
50
86620
62080
317450
73700
109500
4890
14710
1600
181130
0
199100
0
183880
6980
43640
1522
14884
90
30951
5935
99212
29210
29845
349
38
116625
0
66353
47639
801
