name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,0.14464583828766822,0.59
2_DecisionTree,Decision Tree,rmse,0.14092613434197465,0.57
3_DecisionTree,Decision Tree,rmse,0.1409261343419746,0.54
4_Linear,Linear,rmse,0.13314759206910073,0.56
5_Default_LightGBM,LightGBM,rmse,0.10057417714884283,0.7
15_LightGBM,LightGBM,rmse,0.07714424028995513,0.73
6_Xgboost,Xgboost,rmse,0.09346449813644324,0.7
24_CatBoost,CatBoost,rmse,0.09601156627310399,1.16
25_LightGBM,LightGBM,rmse,0.07714424028995513,0.81
26_Xgboost,Xgboost,rmse,0.09328672270515138,0.87
27_LightGBM,LightGBM,rmse,0.07714424028995513,0.76
Ensemble,Ensemble,rmse,0.07714424028995515,0.3
