feature,weight
intercept,3.5442381479516064e-15
District,-0.11827149200686464
Area,-0.09013654765649659
Year,0.4695615309302609
Max_Temp,0.07645782009799586
Min_Temp,0.11002562449298131
Rainfall,-0.03973457865321098
Humidity,0.10853352103808833
Wind,0.16530097149650186
Cloud,0.026290478990759286
Bright Sunshine,-0.020821743755551916
ALT,0.3738169570419926
