District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
41907,292380,1974,35.3,25.9,384,85.5,3.55,7,4.63275862068966,14
41960,132320,1974,31.4,25.85,491.679487179488,89.3461538461539,1.95,6.3,3.37413793103449,3
41895,425855,1974,34.15,25.9,482.5,85.5,0.6,5.65,4.74571428571429,20
41859,989435,1974,32.55,26,398,85.5,1.35,5.7,4.74714285714286,34
41891,396310,1974,33.35,24.75,991,89,0.75,7.3,3.25,35
41883,306850,1975,35,25.6,298.5,87.5,1.4,5.5,6,20
41978,207375,1975,33.3,24.75,600,87,5.45,6.05,4.5,6
41933,477490,1975,33.05,25.1,329.5,83,3.75,6,4.9,10
41923,414945,1975,33.3,25.7,433,87,1.5,6.2,5.65,9
41863,475230,1975,32.4,25.95,379,84.5,0.85,5.75,4.748,37
41929,585000,1975,33.75,25.7,407.5,87,2,6.8,4.69482758620689,9
41936,710400,1975,33.85,25.2,286,88,3.3,6.25,4.85,7
41947,105785,1975,32.15,26.15,303.5,87.5,1.6,5.75,4.12666666666667,4
41886,782910,1975,34.75,25.85,92.5,85.5,0.25,5.8,4.03428571428572,19
41953,395450,1975,31.4,25.15,691.5,88.5,1.6,5.55,4.10862068965518,6
41907,342900,1975,34.7,25.45,424.5,84.5,3.6,6.75,4.63275862068966,14
41960,113145,1975,32.15,24.55,402,86.5,1.85,6.35,3.37413793103449,3
41895,454860,1975,34.8,25.9,280,85,0.95,5.2,4.74571428571429,20
41859,1045000,1975,32.55,26,316,88,0.95,5.05,4.74714285714286,34
41891,469030,1975,33.35,24.65,899,86.5,0.4,7,4.35,35
41883,292250,1976,33.3,25.75,441,87,1.25,5.2,5.9,20
41978,124050,1976,32.7,24.6,535,86.5,5,6.05,4.5,6
41933,441140,1976,32.75,25.15,476,85,3.8,6.35,4.9,10
41923,406025,1976,32.6,25.55,353.5,87,1.75,6.45,5.75,9
41863,498780,1976,32.4,25.95,379,84.5,0.85,5.75,4.748,37
41929,599775,1976,31.5,25.8,324,86,1.35,6.4,4.69482758620689,9
41936,676210,1976,34.1,25.2,265.5,87.5,2.8,5.5,4.7,7
41947,106535,1976,33.55,25.7,341.5,86,1.75,6.2,4.12666666666667,4
41886,752800,1976,33.35,25.05,609.5,85.5,0.15,5.45,4.03428571428572,19
41953,386670,1976,30.65,25.4,691.5,87,1.75,6.2,4.10862068965518,6
41907,376580,1976,34.05,24.9,644.5,83.5,3.95,5.75,4.63275862068966,14
41960,124450,1976,31.4,25.95,472.5,88.5,1.95,6.3,3.37413793103449,3
41895,497060,1976,34.6,26.05,315.5,86,0.7,5.15,4.74571428571429,20
41859,994935,1976,32.55,26,468,90,0.8,4.9,4.74714285714286,34
41891,200000,1976,33.85,24.6,988,88,0.4,6.65,4.45,35
41883,289425,1977,35.7,26.5,269,86,1.55,5.6,5.8,20
41978,224980,1977,33.2,24.9,521.5,88.5,2.2,6.5,4.65,6
41933,459425,1977,33.3,25.75,275.5,86,4.35,5.15,4.9,10
41923,394620,1977,34,26.4,199,85.5,1.95,6.45,5.65,9
41863,458780,1977,32.4,25.95,379,84.5,0.85,5.75,4.748,37
41929,554605,1977,33.45,26.3,232.5,86,1,5.75,4.69482758620689,9
41936,637130,1977,34.6,25.95,200,86,3.15,5.45,5.1,7
41947,109320,1977,33.2,26.2,303,87.5,1.55,5.75,4.12666666666667,4
41886,714730,1977,31.85,25.85,213,85,4.2,5.45,4.03428571428572,19
41953,312290,1977,30.65,25.4,659.5,87,1.75,6.2,4.10862068965518,6
41907,367750,1977,37.8,26.15,373,83,3,5.85,4.63275862068966,14
41960,139115,1977,32.75,25.25,619,88.5,2.7,6.95,3.37413793103449,3
41895,477060,1977,35.6,26.75,278,86,1.8,5.65,4.74571428571429,20
41859,976000,1977,32.55,26,359,85.5,0.9,5.25,4.74714285714286,34
41891,350000,1977,34.3,25.2,629.5,86.5,0.8,6.7,4.75,35
41883,292100,1978,35.7,26.25,248.5,86,1.25,5,6.15,20
41978,217115,1978,33.35,24.95,351,85,5.65,6.7,4.5,6
41933,464690,1978,31.55,25.3,398,86.5,2.45,5.95,4.9,10
41923,380420,1978,33.35,26.2,373,85,1.55,6.25,5.25,9
41863,497925,1978,32.4,25.95,379,84.5,0.85,5.75,4.748,37
