name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,0.14464583828766822,0.39
2_DecisionTree,Decision Tree,rmse,0.14092613434197465,0.42
3_DecisionTree,Decision Tree,rmse,0.1409261343419746,0.41
4_Linear,Linear,rmse,0.13314759206910073,0.43
5_Default_LightGBM,LightGBM,rmse,0.10057417714884283,0.85
15_LightGBM,LightGBM,rmse,0.07714424028995513,2.48
6_Xgboost,Xgboost,rmse,0.09346449813644324,0.84
16_LightGBM,LightGBM,rmse,0.07759130630109103,0.58
17_Xgboost,Xgboost,rmse,0.09571563603494601,0.71
18_LightGBM,LightGBM,rmse,0.07714424028995513,0.64
Ensemble,Ensemble,rmse,0.07664791819297924,0.25
